2025-03-30 06:17:24,270 - INFO - Popup Closer started
2025-03-30 09:19:41,958 - INFO - Closed popup using 'badspam.png' at position 1784, 958
2025-03-30 09:19:42,998 - INFO - Closed popup using 'badspam.png' at position 1784, 958
2025-03-30 09:19:44,056 - INFO - Closed popup using 'badspam.png' at position 1784, 958
2025-03-30 09:19:45,173 - INFO - Closed popup using 'badspam.png' at position 1784, 958
2025-03-30 09:19:46,240 - INFO - Closed popup using 'badspam.png' at position 1784, 958
2025-03-30 09:19:47,285 - INFO - Closed popup using 'badspam.png' at position 1784, 958
2025-03-30 09:19:48,322 - INFO - Closed popup using 'badspam.png' at position 1784, 958
2025-03-30 09:19:49,370 - INFO - Closed popup using 'badspam.png' at position 1784, 958
2025-03-30 09:19:50,452 - INFO - Closed popup using 'badspam.png' at position 1784, 958
2025-03-30 09:19:51,516 - INFO - Closed popup using 'badspam.png' at position 1784, 958
2025-03-30 09:19:52,584 - INFO - Closed popup using 'badspam.png' at position 1784, 958
2025-03-30 09:19:53,736 - INFO - Closed popup using 'badspam.png' at position 1784, 958
2025-03-30 09:19:54,839 - INFO - Closed popup using 'badspam.png' at position 1786, 751
2025-03-30 09:19:55,917 - INFO - Closed popup using 'badspam.png' at position 1786, 751
2025-03-30 09:20:27,369 - INFO - Closed popup using 'badspam.png' at position 1786, 751
2025-03-30 09:20:28,451 - INFO - Closed popup using 'badspam.png' at position 1786, 751
2025-03-30 09:20:29,523 - INFO - Closed popup using 'badspam.png' at position 1786, 751
2025-03-30 09:20:30,607 - INFO - Closed popup using 'badspam.png' at position 1786, 751
2025-03-30 09:20:31,698 - INFO - Closed popup using 'badspam.png' at position 1786, 751
2025-03-30 09:20:32,865 - INFO - Closed popup using 'badspam.png' at position 1786, 751
2025-03-30 09:21:04,381 - INFO - Closed popup using 'badspam.png' at position 1786, 751
2025-03-30 09:21:05,516 - INFO - Closed popup using 'badspam.png' at position 1786, 751
2025-03-30 09:21:06,593 - INFO - Closed popup using 'badspam.png' at position 1786, 751
2025-03-30 09:21:07,660 - INFO - Closed popup using 'badspam.png' at position 1786, 751
2025-03-30 09:21:08,737 - INFO - Closed popup using 'badspam.png' at position 1786, 751
2025-03-30 09:21:09,833 - INFO - Closed popup using 'badspam.png' at position 1786, 751
2025-03-30 09:21:10,947 - INFO - Closed popup using 'badspam.png' at position 1786, 751
2025-03-30 09:21:12,057 - INFO - Closed popup using 'badspam.png' at position 1786, 751
2025-03-30 09:21:13,173 - INFO - Closed popup using 'badspam.png' at position 1786, 751
2025-03-30 09:21:14,271 - INFO - Closed popup using 'badspam.png' at position 1786, 751
2025-03-30 09:21:15,391 - INFO - Closed popup using 'badspam.png' at position 1786, 751
2025-03-30 09:21:16,486 - INFO - Closed popup using 'badspam.png' at position 1786, 751
2025-03-30 09:21:17,561 - INFO - Closed popup using 'badspam.png' at position 1786, 751
2025-03-30 09:22:19,677 - INFO - Closed popup using 'badspam.png' at position 1786, 751
2025-03-30 09:22:20,913 - INFO - Closed popup using 'badspam.png' at position 1786, 751
2025-03-30 09:22:21,990 - INFO - Closed popup using 'badspam.png' at position 1786, 751
2025-03-30 09:22:23,153 - INFO - Closed popup using 'badspam.png' at position 1786, 751
2025-03-30 09:36:37,286 - INFO - Closed popup using 'close_add.png' at position 926, 423
2025-03-30 09:36:38,244 - INFO - Closed popup using 'close_add.png' at position 926, 423
2025-03-30 09:36:39,154 - INFO - Closed popup using 'close_add.png' at position 926, 423
2025-03-30 09:36:40,087 - INFO - Closed popup using 'close_add.png' at position 926, 423
2025-03-30 09:36:41,038 - INFO - Closed popup using 'close_add.png' at position 926, 423
2025-03-30 09:36:41,979 - INFO - Closed popup using 'close_add.png' at position 926, 423
2025-03-30 09:36:42,934 - INFO - Closed popup using 'close_add.png' at position 926, 423
2025-03-30 09:36:43,897 - INFO - Closed popup using 'close_add.png' at position 926, 423
2025-03-30 09:36:44,841 - INFO - Closed popup using 'close_add.png' at position 926, 423
2025-03-30 09:36:45,864 - INFO - Closed popup using 'close_add.png' at position 926, 423
